Go on.,Poursuis.
Tom took a book down from the shelf.,Tom a pris un livre sur l'étagère.
Tom took care of the kids yesterday.,Tom a pris soin des enfants hier.
Tom took his new car out for a spin.,Tom sortit sa nouvelle voiture pour faire une balade.
"Tom tried to do it, but he couldn't.","Tom a essayé de le faire, mais il n'a pas pu."
"Tom tried to do it, but he couldn't.","Tom essaya de le faire, mais il ne put pas."
Tom tried to persuade Mary to drive.,Tom a essayé de persuader Mary de conduire.
"Tom tried, unsuccessfully, to smile.","Tom essaya, sans succès, de sourire."
Tom waited for Mary for a long time.,Tom a attendu Mary pendant un long moment.
Tom waited for Mary for a long time.,Tom attendit Mary pendant longtemps.
Tom waited for Mary for three hours.,Tom attendit Mary pendant trois heures.
Tom waited for Mary for three hours.,Tom a attendu Mary pendant trois heures.
Tom walked to the front of the room.,Tom se dirigea vers l'avant de la salle.
Tom wanted Mary to have a good time.,Tom voulait que Mary passe du bon temps.
Tom wanted Mary to leave right away.,Tom voulait que Marie s’en fût allé immédiatement.
Tom wanted Mary to meet his friends.,Tom voulait que Mary rencontre ses amis.
Tom wanted Mary to meet his parents.,Tom voulait que Mary rencontre ses parents.
Tom wanted me to walk home with him.,Tom voulait que je l'accompagne chez lui à pied.
Tom wants to ask us a few questions.,Tom veut nous poser quelques questions.
Tom wants to borrow my car tomorrow.,Tom veut emprunter ma voiture demain.
Tom wants to come to Boston with us.,Tom veut venir à Boston avec nous.
Tom wants to come with us to Boston.,Tom veut venir avec nous à Boston.
Tom wants to see Mary in his office.,Tom veut voir Mary dans son bureau.
Tom was alone last night at the bar.,"Tom était hier soir, seul au bar à bières."
Tom was attacked by a swarm of bees.,Tom s'est fait attaquer par un essaim d'abeilles.
Tom was chosen among 300 applicants.,Tom a été choisi parmi 300 candidats.
Tom was here just a few minutes ago.,Tom était là il y a quelques minutes.
Tom was impatient to see Mary again.,Tom était impatient de revoir Mary.
Tom was in prison for several years.,Tom a passé plusieurs années en prison.
Tom was my neighbor for three years.,Tom était mon voisin durant trois ans.
Tom was playing tennis this morning.,Tom jouait au tennis ce matin.
Tom was trying to control his anger.,Tom essayait de contrôler sa colère.
Tom was wearing a janitor's uniform.,Tom portait un uniforme de concierge.
Tom was well-known in the community.,Tom était bien connu dans la communauté.
Tom wasn't able to sleep on the bus.,Tom n'était pas capable de dormir dans le bus.
Tom wasn't in his room this morning.,Tom n'était pas dans sa chambre ce matin.
Tom wasn't worried about his grades.,Tom n'était pas inquiet au sujet de ses notes.
Tom went swimming with us yesterday.,Tom est allé nager avec nous hier.
Tom will be angry if Mary does that.,Tom serait en colère si Mary faisait ça.
Tom will be here in fifteen minutes.,Tom sera là dans quinze minutes.
Tom will be very sad if Mary leaves.,Tom serait vraiment triste si Mary partait.
Tom will be very successful someday.,Tom connaîtra le succès un jour.
Tom will buy a house on Park Street.,Tom va acheter une maison sur la Park Street.
Tom will buy a new car next weekend.,Tom va acheter une nouvelle voiture le week-end prochain.
Tom will likely testify against you.,Tom va probablement témoigner contre toi.
Tom won't go to Boston without Mary.,Tom n'ira pas à Boston sans Mary.
Tom won't help Mary do that anymore.,Tom n'aidera plus Mary à le refaire.
Tom wondered where to hang his coat.,Tom se demandait où pendre son manteau.
Tom would never go there by himself.,Tom n'irait jamais là seul.
Tom would've been very proud of you.,Tom aurait été très fier de toi.
Tom would've been very proud of you.,Tom aurait été très fier de vous.
Tom wrote Mary's number on a napkin.,Tom nota le numéro de téléphone de Mary sur une serviette.
Tom's eyes were glued to the screen.,Les yeux de Tom étaient collés à l'écran.
Tom's flight will be arriving early.,Le vol de Tom va atterrir plus tôt que prévu.
Tom's friends tried to cheer him up.,Les amis de Tom ont essayé de lui remonter le moral.
Tom's proposal is worth considering.,La proposition de Tom vaut la peine d'être prise en compte.
"Tom, I have something to say to you.","Tom, j'ai quelque chose à te dire."
"Tomorrow morning, I'll wake up at 6.","Demain matin, je me lève à 6 heures."
Try to be more punctual from now on.,"Efforcez-vous d'être plus ponctuel, désormais."
Try to be more punctual from now on.,"Efforcez-vous d'être plus ponctuelle, désormais."
Try to be more punctual from now on.,"Efforce-toi d'être plus ponctuel, désormais."
Try to be more punctual from now on.,"Efforce-toi d'être plus ponctuelle, désormais."
Try to be more punctual from now on.,"Essaie d'être plus ponctuel, désormais."
Try to be more punctual from now on.,"Essaie d'être plus ponctuelle, désormais."
Try to be more punctual from now on.,"Essayez d'être plus ponctuel, désormais."
Try to be more punctual from now on.,"Essayez d'être plus ponctuelle, désormais."
Try to be more punctual from now on.,"Essayez d'être plus ponctuelles, désormais."
Try to be more punctual from now on.,"Essayez d'être plus ponctuels, désormais."
Try to be more punctual from now on.,"Efforcez-vous d'être plus ponctuelles, désormais."
Try to be more punctual from now on.,"Efforcez-vous d'être plus ponctuels, désormais."
Try to make it last a little longer.,Essaie de le faire durer un peu plus longtemps.
Try to make it last a little longer.,Essayez de le faire durer un peu plus longtemps.
Turn right at the next intersection.,Tourne à droite à la prochaine intersection.
Turn right at the next intersection.,Tourne à droite au prochain carrefour.
Turn right at the next intersection.,Prends à droite au prochain croisement.
Two detectives followed the suspect.,Deux détectives suivirent le suspect.
Two families live in the same house.,Deux familles vivent dans la même maison.
"Two glasses of orange juice, please.",Deux verres de jus d'orange s'il vous plaît.
Two people say they heard a gunshot.,Deux personnes disent avoir entendu une détonation.
Two people say they heard a gunshot.,Deux personnes disent avoir entendu un coup de feu.
Two people say they heard a gunshot.,Deux personnes disent qu'elles ont entendu une détonation.
Two people say they heard a gunshot.,Deux personnes disent qu'elles ont entendu un coup de feu.
"Unfortunately, I missed all the fun.","Malheureusement, j'ai loupé tout l'amusement."
"Unfortunately, it's not that simple.","Malheureusement, ce n'est pas si simple."
"Unfortunately, that wasn't the case.","Malheureusement, ce n'était pas le cas."
Was your family with you last month?,"Votre famille était-elle avec vous, le mois dernier ?"
Was your family with you last month?,"Ta famille était-elle avec toi, le mois dernier ?"
Watch out! There's a big hole there.,Attention ! Il y a un gros trou là-bas.
Watching movies is very interesting.,Regarder des films est très intéressant.
Water becomes solid when it freezes.,L'eau devient solide quand elle gèle.
Water covers about 70% of the earth.,L'eau recouvre environ 70% de la surface de la Terre.
Water is to fish what air is to man.,L'air est aux hommes ce que l'eau est aux poissons.
We apologize for this inconvenience.,Nous nous excusons pour ce désagrément.
We are going to climb that mountain.,Nous allons gravir cette montagne.
We are going to climb that mountain.,Nous avons l'intention de gravir cette montagne.
We are going to climb that mountain.,Nous allons escalader cette montagne.
We bought Tom an expensive umbrella.,Nous avons acheté à Tom un parapluie qui a coûté cher.
"We can't be sure about that, can we?","Nous ne pouvons pas être sûr à ce propos, n'est-ce pas ?"
We can't choose who our parents are.,On ne choisit pas ses parents.
We can't keep this a secret forever.,Nous ne pouvons le garder secret pour toujours.
"We did have fun together, didn't we?","On s'est bien amusé ensemble, non ?"
We didn't actually see the accident.,"En fait, nous n'avons pas vu l'accident."
"We didn't want to go, but we had to.","Nous ne voulions pas, mais nous avons dû y aller."
We don't have time to do that today.,Nous n'avons pas le temps de le faire aujourd'hui.
We don't want to give too much away.,Nous ne voulons pas donner trop.
We enjoyed playing chess last night.,On a passé un bon moment à jouer aux échecs la nuit dernière.
We found out that he was her father.,Nous avons découvert qu'il était son père.
We found the footprints in the sand.,Nous avons trouvé les empreintes de pas dans le sable.
We get applications from everywhere.,Nous recevons des applications de partout.
We had a heated discussion about it.,Nous avons eu une discussion passionnée à propos de cela.
We had a heated discussion about it.,Nous avons eu une discussion véhémente à ce propos.
We had a short vacation in February.,Nous avons eu de courtes vacances en février.
We had a traditional church wedding.,Nous avons fait un mariage traditionnel à l'église.
We happened to be on the same train.,Il advint que nous nous trouvions dans le même train.
We have a stressful day ahead of us.,Nous avons une journée stressante devant nous.
We have already finished our dinner.,Nous avons déjà fini notre dîner.
We have an important job to do here.,Nous avons un travail important à faire ici.
We have been waiting here for hours.,Ça fait des heures qu'on attend ici.
We have been waiting here for hours.,Nous attendons ici depuis des heures.
We have captured one of their spies.,Nous avons capturé un de leurs espions.
We have four classes in the morning.,Nous avons quatre cours le matin.
We have the situation under control.,Nous avons le contrôle de la situation.
We have three trees in our backyard.,Nous avons trois arbres dans notre jardin.
We have to be careful with expenses.,Nous devons faire attention à nos dépenses.
We have to be careful with expenses.,Il nous faut faire attention à nos dépenses.
We have to be prepared for anything.,Il nous faut être prêts à tout.
We have to clean the house tomorrow.,Nous devons nettoyer la maison demain.
We have to do something to help Tom.,Nous devons faire quelque chose pour aider Tom.
We have to pay attention and listen.,Nous devons être attentifs et écouter.
We haven't seen you for a long time.,Nous ne t'avons pas vu depuis longtemps.
We heard the boy playing the violin.,On a entendu le garçon jouer du violon.
We heard the boy playing the violin.,Nous avons entendu le garçon jouer du violon.
We heard what sounded like gunshots.,Nous avons entendu quelque chose ayant l'air de détonations.
We heard what sounded like gunshots.,Nous avons entendu quelque chose ayant l'air de coups de feu.
We invite you to listen to us again.,Nous vous invitons à nous écouter à nouveau.
We invited ten couples to the party.,Nous avons invité dix couples à la fête.
We look forward to seeing you again.,Il nous tarde de vous revoir.
We look forward to seeing you again.,Il nous tarde de te revoir.
We managed to swim across the river.,Nous parvînmes à traverser la rivière à la nage.
We might as well get this over with.,Nous ferions tout aussi bien de terminer ça.
We must have faith in the president.,Nous devons avoir foi dans le président.
We need something a bit more subtle.,Il nous faut quelque chose d'un peu plus subtil.
We need to find an effective method.,Nous devons trouver une méthode efficace.
We need to take this very seriously.,Nous devons prendre ça très sérieusement.
We often associate black with death.,Nous associons souvent le noir à la mort.
We really hope that you'll be there.,Nous espérons vraiment que tu seras là.
We reported the theft to the police.,Nous avons signalé le vol à la police.
We sat face to face with executives.,Nous étions assis face aux cadres.
We should always try to help others.,Nous devrions toujours essayer d'aider les autres.
We should make use of atomic energy.,Nous devrions faire usage de l'énergie nucléaire.
We should talk calmly to each other.,Nous devrions discuter calmement !
We should use the fireplace tonight.,Nous devrions utiliser le feu ouvert ce soir.
We should've thought of this before.,Nous aurions dû y songer avant.
We shouldn't have tried to help Tom.,Nous n'aurions pas dû essayer d'aider Tom.
We spent the night in a cheap hotel.,Nous passâmes la nuit dans un hôtel bon marché.
We spent the night in a cheap hotel.,Nous avons passé la nuit dans un hôtel pas cher.
We talked a lot about you yesterday.,Nous avons beaucoup parlé de vous hier.
We talked about a variety of topics.,Nous avons parlé d'une variété de sujets.
We talked about a variety of topics.,Nous discutâmes d'une variété de sujets.
We talked to each other for a while.,Nous avons parlé un moment.
We want to take your blood pressure.,Nous souhaitons mesurer votre tension artérielle.
We went on talking about the matter.,Nous avons parlé longuement du sujet.
We were crowded into the small room.,Nous nous sommes retrouvés les uns sur les autres dans la petite pièce.
We were obliged to abandon our plan.,Nous avons été contraints d'abandonner notre plan.
We were obliged to give up our plan.,Nous avons été contraints d'abandonner notre plan.
We were on the same train by chance.,Nous étions par chance dans le même train.
We were under constant surveillance.,Nous étions surveillés de façon permanente.
We weren't prepared for the assault.,Nous n'étions pas préparés pour l'assaut.
We will keep the peace at all costs.,Nous maintiendrons la paix à tout prix.
We won't have time to do that today.,Nous n'aurons pas le temps de le faire aujourd'hui.
We'd better not change the schedule.,Nous ferions mieux de ne pas modifier l'emploi du temps.
We'll get started as soon as we can.,Nous commencerons le plus tôt possible.
We'll get you back home immediately.,Nous allons vous raccompagner chez vous immédiatement.
We'll try even harder the next time.,Alors nous essaierons plus fort la prochaine fois.
We'll try to make a good impression.,Nous essaierons de faire bonne impression.
We're attempting a rescue operation.,Nous tentons une opération de sauvetage.
We're expecting lousy weather today.,"Nous attendons du mauvais temps, aujourd'hui."
We're going to do everything we can.,Nous allons faire tout ce que nous pouvons.
We're going to do everything we can.,On va faire tout ce qu'on peut.
We're going to do everything we can.,Nous allons faire ce que nous pouvons.
We're going to do everything we can.,On va faire ce qu'on peut.
We're going to get you out of there.,On va vous sortir de là.
We're having a party Friday evening.,On fait une fête vendredi soir.
We're headed in the right direction.,Nous nous dirigeons dans la bonne direction.
We're not lost. I know where we are.,Nous ne nous sommes pas perdus. Je sais où nous nous trouvons.
We're still investigating the cause.,Nous enquêtons toujours sur la cause.
We've already sent a message to Tom.,Nous avons déjà envoyé un message à Tom.
We've come here to help you do that.,Nous sommes venus ici pour vous aider à le faire.
We've done it twice in three months.,Nous l'avons fait deux fois en trois mois.
We've got a really big problem here.,On a vraiment un gros problème.
We've got bigger problems than that.,Nous avons de plus gros problèmes que ça.
We've got to take Tom to the doctor.,Nous devons emmener Tom au docteur.
"We've looked everywhere, haven't we?","Nous avons regardé partout, n'est-ce pas ?"
We've never had this problem before.,Nous n'avons jamais eu ce problème avant.
We've never tried doing it that way.,Nous n'avons jamais essayé de le faire de cette manière.
We've remade this video three times.,Nous avons refait cette vidéo trois fois.
We've started to recycle newspapers.,Nous avons commencé à recycler les journaux.
"Well, stranger things have happened.","Eh bien, des choses plus étranges sont survenues."
Were there any glasses on the table?,Y avait-il des verres sur la table ?
Whales are similar to fish in shape.,Les baleines ressemblent aux poissons dans leur forme.
What I want is some peace and quiet.,"Ce que je veux, c'est de la tranquillité et du calme."
What are the dimensions of the room?,Quelles sont les dimensions de cette pièce ?
What are you doing with these dolls?,Qu'êtes-vous en train de faire avec ces poupées ?
What are you doing with these dolls?,Qu'es-tu en train de faire avec ces poupées ?
What are you getting so upset about?,Qu'est-ce qui te préoccupe ?
What are you trying to hide from me?,Qu'essayes-tu de me cacher ?
What are your instincts telling you?,Que vous dit votre instinct ?
What are your instincts telling you?,Que te dit ton instinct ?
What are your plans for the weekend?,Quels sont tes plans pour le week-end ?
What could possibly have gone wrong?,Qu'est-ce qui a bien pu mal se passer ?
What did Tom give you for Christmas?,Que t'as offert Tom pour Noël ?
What did Tom give you for Christmas?,Qu'est-ce que Tom t'a offert à Noël ?
What did you come here so early for?,Pourquoi t'es-tu levé aussi tôt ?
What did you do during the holidays?,Qu'avez-vous fait pendant les fêtes ?
What direction does your house face?,À quelle direction votre maison fait-elle face ?
What direction does your house face?,Ta maison fait face à quelle direction ?
What do you feel like doing tonight?,Qu'as-tu envie de faire ce soir ?
What do you feel like doing tonight?,Qu'avez-vous envie de faire ce soir ?
What do you intend to do about that?,Qu'avez-vous l'intention de faire à ce sujet ?
What do you intend to do about that?,Qu'as-tu l'intention de faire pour ça ?
"What do you mean, you can't help me?",Que veux-tu dire que tu ne peux pas m'aider ?
"What do you mean, you can't help me?",Que voulez-vous dire que vous ne pouvez pas m'aider ?
What do you say to calling it a day?,Que dis-tu de nous arrêter ?
What do you say to calling it a day?,Que dites-vous de nous arrêter ?
What do you think about this outfit?,Que penses-tu de cette tenue ?
What do you think about this outfit?,Que pensez-vous de cette tenue ?
What do you think of his suggestion?,Que penses-tu de sa proposition ?
What do you think of his suggestion?,Que pensez-vous de sa suggestion ?
What does Tom want for his birthday?,Que veut Tom pour son anniversaire ?
What does it feel like to be famous?,Quelle impression cela fait-il d'être célèbre ?
What gives you the right to do that?,Qu'est-ce qui te donne le droit de faire ça ?
What gives you the right to do that?,Qu'est-ce qui vous donne le droit de faire cela ?
What happens if I press this button?,Que se passe-t-il si j'appuie sur ce bouton ?
What happens if I press this button?,Qu'arrive-t-il si j'appuie sur ce bouton ?
What happens if I press this button?,Qu'est-ce qui se produit si j'appuie sur ce bouton ?
What he said turned out to be a lie.,Ce qu'il a dit s'est avéré être un mensonge.
What is this fish called in English?,Comment nomme-t-on ce poisson en anglais ?
What kind of bread do you like best?,Quel type de pain préférez-vous ?
What kind of bread do you like best?,Quelle sorte de pain aimes-tu le plus ?
What kind of dessert would you like?,Quel genre de dessert veux-tu ?
What kind of fool do you think I am?,Vous me prenez pour un idiot ?
What kind of music do you listen to?,Quel genre de musique écoutez-vous ?
What kind of music do you listen to?,Quel genre de musique est-ce que tu écoutes ?
What on earth are you talking about?,"Mais enfin, de quoi parlez-vous donc ?"
What on earth are you trying to say?,Que diable essayez-vous de dire ?
What part of Australia are you from?,De quel coin de l'Australie venez-vous ?
What part of Australia are you from?,De quel coin de l'Australie viens-tu ?
What part of Australia are you from?,De quelle partie de l'Australie venez-vous ?
What part of Australia are you from?,De quelle partie de l'Australie viens-tu ?
What products are currently on sale?,Quels produits sont actuellement en vente ?
What sorts of weapons did they have?,Quels types d'armes possédaient-ils ?
What sorts of weapons did they have?,Quels types d'armes possédaient-elles ?
What time do you want me to be here?,À quelle heure veux-tu que je sois là ?
What time does the next train leave?,À quelle heure part le prochain train ?
What time does the next train leave?,À quelle heure part le prochain train ?
What vegetables do you usually grow?,"Quels légumes faites-vous pousser, d'ordinaire ?"
What vegetables do you usually grow?,"Quels légumes fais-tu pousser, d'ordinaire ?"
What was it that he was looking for?,Que cherchait-il ?
What was it that we were told to do?,C'est quoi qu'on nous a dit de faire ?
What was it that we were told to do?,Qu'est-ce qu'on nous a demandé de faire ?
What was the cause of the explosion?,Quelle était la cause de l'explosion ?
What were you and Tom talking about?,De quoi Tom et toi parliez-vous ?
What were you doing at the hospital?,Qu'est-ce que tu faisais à l'hôpital ?
What were you doing at the hospital?,Que faisiez-vous à l'hôpital ?
What will losing the war mean to us?,Que signifiera pour nous de perdre la guerre ?
What would I do if they really came?,Que ferais-je s'ils venaient vraiment ?
What would I do if they really came?,Que ferais-je si elles venaient vraiment ?
What would the world do without tea?,Que serait le monde sans thé ?
What would you do in this situation?,Que feriez-vous dans une telle situation ?
What would you do in this situation?,Qu'est-ce que tu ferais dans une situation pareille ?
What's the best cure for loneliness?,Quel est le meilleur remède contre la solitude ?
What's the best way to learn French?,Quelle est la meilleure façon d'apprendre le français ?
What's the combination for the safe?,Quelle est la combinaison du coffre ?
What's the destination of this ship?,Quelle est la destination de ce bateau ?
What's the difference between these?,Quelle est la différence entre ceux-ci ?
What's the difference between these?,Quelle est la différence entre celles-ci ?
What's the most fun you've ever had?,Quelle est la plus grosse rigolade que tu aies eue ?
